Searching for counterexample to Bound 44
Time budget: 3600s | Restart budget: 120s
Max nodes: 100
Sparse init: random trees at n=40-60
============================================================

--- Restart 1 | 3600s remaining ---
  Starting from random tree: n=60
AMCS start | n=60 e=59 | score=-2.677395
AMCS start | n=55 e=54 | score=-2.304498
  iter    1 | t=   0.0s | IMPROVED +0.540041 -> -1.764457 | n=55 e=56 | depth=0 level=1
  iter    2 | t=   0.0s | IMPROVED +0.030183 -> -1.734274 | n=55 e=58 | depth=0 level=1
  iter    3 | t=   0.0s | IMPROVED +0.047665 -> -1.686609 | n=55 e=60 | depth=0 level=1
  iter    4 | t=   0.0s | IMPROVED +0.008036 -> -1.678574 | n=55 e=62 | depth=0 level=1
  iter    5 | t=   0.0s | IMPROVED +0.011885 -> -1.666689 | n=56 e=64 | depth=0 level=1
  iter    6 | t=   0.0s | IMPROVED +0.007048 -> -1.659640 | n=56 e=66 | depth=0 level=1
  iter    7 | t=   0.0s | IMPROVED +0.019321 -> -1.640320 | n=56 e=68 | depth=0 level=1
  iter    8 | t=   0.0s | IMPROVED +0.143124 -> -1.497196 | n=56 e=70 | depth=0 level=1
  iter    9 | t=   0.1s | IMPROVED +0.040110 -> -1.457086 | n=56 e=72 | depth=0 level=1
  iter   10 | t=   0.1s | IMPROVED +0.086241 -> -1.370845 | n=56 e=74 | depth=0 level=1
  iter   11 | t=   0.1s | IMPROVED +0.033554 -> -1.337291 | n=56 e=76 | depth=0 level=1
  iter   12 | t=   0.1s | IMPROVED +0.021237 -> -1.316054 | n=56 e=78 | depth=0 level=1
  iter   13 | t=   0.1s | IMPROVED +0.096553 -> -1.219501 | n=56 e=80 | depth=0 level=1
  iter   14 | t=   0.1s | IMPROVED +0.009212 -> -1.210289 | n=56 e=82 | depth=0 level=1
  iter   15 | t=   0.2s | IMPROVED +0.031626 -> -1.178663 | n=56 e=84 | depth=0 level=1
  iter   16 | t=   0.2s | IMPROVED +0.073870 -> -1.104793 | n=57 e=86 | depth=0 level=1
  iter   17 | t=   0.2s | IMPROVED +0.002377 -> -1.102416 | n=58 e=88 | depth=0 level=1
  iter   18 | t=   0.2s | IMPROVED +0.024204 -> -1.078213 | n=58 e=90 | depth=0 level=1
  iter   19 | t=   0.2s | IMPROVED +0.046110 -> -1.032103 | n=58 e=92 | depth=0 level=1
  iter   20 | t=   0.2s | IMPROVED +0.024006 -> -1.008097 | n=59 e=94 | depth=0 level=1
  iter   21 | t=   0.2s | IMPROVED +0.003910 -> -1.004187 | n=59 e=96 | depth=0 level=1
