Tabu Search for counterexample to Bound 44
Time budget: 1800s | Start n=15 | Restarts=5
============================================================

============================================================
Restart 1/5 | n=15 e=21 density=0.2 | budget=360s
============================================================
Tabu Search start | n=15 e=21 | score=-1.198410
  iter    12 | t=    2.5s | NEW BEST=-0.47407525 | n=15 e=42 | neighbors=310
  iter    13 | t=    2.6s | NEW BEST=-0.45160740 | n=15 e=42 | neighbors=5
  iter    13 | t=    2.7s | NEW BEST=-0.41676707 | n=15 e=42 | neighbors=216
  iter    14 | t=    2.8s | NEW BEST=-0.40206961 | n=15 e=42 | neighbors=42
  iter    14 | t=    3.0s | NEW BEST=-0.38724936 | n=15 e=42 | neighbors=487
  iter    15 | t=    3.1s | NEW BEST=-0.32897952 | n=15 e=42 | neighbors=254
  iter    15 | t=    3.2s | NEW BEST=-0.32897952 | n=15 e=42 | neighbors=412
  iter    16 | t=    3.3s | NEW BEST=-0.30723938 | n=15 e=42 | neighbors=154
  iter    16 | t=    3.4s | NEW BEST=-0.29383943 | n=15 e=42 | neighbors=440
  iter    17 | t=    3.5s | NEW BEST=-0.24984937 | n=15 e=42 | neighbors=174
  iter    22 | t=    4.7s | NEW BEST=-0.24984937 | n=15 e=42 | neighbors=481
  iter    32 | t=    6.7s | NEW BEST=-0.21267197 | n=15 e=42 | neighbors=60
  iter    32 | t=    6.7s | NEW BEST=-0.14837963 | n=15 e=42 | neighbors=164
  iter    33 | t=    7.0s | NEW BEST=-0.14837963 | n=15 e=42 | neighbors=212
  iter    46 | t=    9.8s | NEW BEST=-0.14287912 | n=15 e=42 | neighbors=351
  iter    47 | t=    9.9s | NEW BEST=-0.13700998 | n=15 e=42 | neighbors=227
  iter    47 | t=    9.9s | NEW BEST=-0.13700998 | n=15 e=42 | neighbors=239
  iter    48 | t=   10.1s | NEW BEST=-0.12890568 | n=15 e=42 | neighbors=16
  iter    48 | t=   10.1s | NEW BEST=-0.12890568 | n=15 e=42 | neighbors=74
  iter    50 | t=   10.7s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter    53 | t=   11.1s | NEW BEST=-0.12890568 | n=15 e=42 | neighbors=173
  iter    90 | t=   18.9s | NEW BEST=-0.12890568 | n=15 e=42 | neighbors=200
  iter   100 | t=   21.0s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter   150 | t=   31.4s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter   161 | t=   33.5s | NEW BEST=-0.12890568 | n=15 e=42 | neighbors=125
  iter   200 | t=   41.8s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter   250 | t=   52.6s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter   266 | t=   55.8s | NEW BEST=-0.12890568 | n=15 e=42 | neighbors=213
  iter   300 | t=   63.1s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter   350 | t=   74.0s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter   400 | t=   84.3s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter   450 | t=   94.7s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter   500 | t=  105.0s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter   550 | t=  115.3s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter   600 | t=  125.7s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter   650 | t=  136.2s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter   700 | t=  146.6s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter   750 | t=  157.0s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter   800 | t=  167.4s | current=-0.167979 best=-0.128906 | n=15 e=42 | tabu=50
  iter   850 | t=  177.7s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter   900 | t=  188.3s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter   950 | t=  198.6s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter  1000 | t=  209.0s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter  1050 | t=  219.5s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter  1100 | t=  229.9s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter  1150 | t=  240.3s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter  1200 | t=  250.8s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter  1250 | t=  261.1s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter  1300 | t=  271.5s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter  1350 | t=  281.8s | current=-0.128906 best=-0.128906 | n=15 e=42 | tabu=50
  iter  1400 | t=  292.1s | current=-0.137010 best=-0.128906 | n=15 e=42 | tabu=50
